Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
4.549778461,6.247154713,4.655335903,3.333158493,4.592935562,5.666553497,4.901773453,2.817791462
3.114964247,5.384890556,5.359381676,4.371207237,3.366712093,4.475248814,5.889629364,4.059693813
5.051632404,5.441944599,3.861537218,4.391619682,5.28672123,5.351330757,4.042662621,3.692320108
3.856757164,5.508295536,4.113649845,5.355044365,5.135246754,3.855738401,5.379408836,4.12364769
5.136742592,5.52581501,3.749927521,4.200415134,5.306593418,5.476452827,4.293702126,3.625465393
4.611498833,6.355975628,4.541422367,3.350993395,4.810695171,5.702619553,4.803301334,2.837072372
4.522082806,6.426607132,4.724278927,3.22632575,4.702054024,5.763953209,4.987457752,2.728718996
5.319804192,5.236017704,3.42595005,4.780205727,5.717514992,4.733241081,3.905934095,4.099059105
3.155474663,5.330526352,5.552362442,4.394958496,3.306598902,4.550132751,5.949445724,4.189917088
4.577148438,6.321236134,4.525801659,3.478178978,4.964202404,5.671862602,4.789876461,2.939904213
4.314507961,4.431788445,4.341013432,4.972923279,4.743658066,4.034279346,4.606963634,4.448007584
5.164076805,5.604187489,3.674575567,4.194449902,5.518899441,4.975478649,3.97362566,3.583799839
2.99900794,5.258677959,5.52356863,4.45179987,3.192500114,4.453103065,5.99224472,4.172889233
4.499596119,6.346451759,4.656296253,3.290399075,4.5958848,5.664631844,5.313446522,2.869918108
5.222917557,5.575868607,3.77308321,4.323811531,5.488398552,5.126626492,3.89323616,3.728705883
4.330740452,4.623600483,4.716771126,4.413966656,4.712397099,3.939827681,4.659070492,4.595643997
4.089532852,5.797739029,4.70050621,3.612840652,4.263764858,5.060245514,5.739451885,3.31275177
5.925746441,5.055288792,2.954876423,5.284919262,6.358087063,4.632389069,3.007767439,4.640141487
4.116858959,5.150558472,4.085958958,4.665559769,4.764778614,4.134729862,4.731033325,4.103806496
4.610279083,6.353614807,4.611342907,3.320660353,4.645560741,5.632070065,4.798663616,2.838566065
4.223733902,4.875997066,3.982723475,4.690357685,4.611800671,4.14780426,4.593995571,4.158834934
4.316945076,4.357458591,4.256298542,4.629183769,4.750293732,4.008143902,4.629003048,4.404954433
3.197384834,5.333174229,5.408693314,4.371425152,3.410296202,4.460832119,5.896972656,4.094109535
4.220487118,4.644881248,4.111658096,4.590622425,4.649502754,4.085803509,4.621044159,4.135643959
3.213016272,5.35157156,5.308179855,4.339002609,3.498127222,4.485766411,5.901244164,4.061429024
3.839292526,5.575244904,4.134097576,5.374529362,5.089758396,3.829389572,5.345222473,4.10048151
5.386888981,4.570744038,3.351326942,5.290647507,5.828882217,3.956066132,3.320103884,4.740223885
4.628428936,6.388335228,4.51289463,3.245075703,4.714328289,5.649147987,6.352938175,2.796432018
3.909390211,4.101299763,4.538236618,5.130453587,4.369888783,3.689494848,5.193023205,4.665465832
4.171472549,4.559747696,4.1195755,4.671761513,4.65897131,4.059450626,4.598509312,4.082588673
4.903662682,3.161989212,4.114925385,5.763857841,5.398525715,2.865021706,4.321587086,5.714416027
5.17110014,5.513288498,3.833409309,4.3027215,5.477139473,5.088730335,3.920547009,3.648939133
4.478435516,6.332630157,4.68551302,3.239975452,4.730372906,5.708236694,5.431138515,2.798235178
5.490888596,4.680198669,2.888440371,5.314198494,5.936877728,4.055461407,3.302429199,4.717215061
5.062551022,5.513609886,3.813642025,4.180709839,5.275826454,5.033879757,4.090446949,3.586925507
4.317489624,4.433269978,4.292765617,5.120105267,4.624804974,4.110964775,4.595198631,4.4241786
4.551015854,6.387811661,4.672818184,3.271593809,4.758067608,5.747651577,5.117756844,2.787650347
4.239649296,4.803651333,4.495529175,4.351027966,4.613269329,4.132472992,4.725588799,4.359302044
4.262608528,4.594303608,4.192284584,4.622822285,4.595236301,4.123577118,4.632627487,4.10638237
5.114442825,5.327675819,3.862329721,4.409971714,5.434307098,4.933790684,4.422335148,3.833760738
3.912635088,4.273459435,4.513934612,5.091902733,4.341161728,3.743942738,5.181159496,4.631783485
4.357564926,4.608417988,4.349926472,4.553203583,4.763272285,4.086771488,4.691205978,4.515116692
4.004561424,5.241094589,4.026652813,5.349775791,5.237114906,3.895820379,5.280409336,4.18360424
4.966265202,3.56910038,4.103703022,5.864105701,5.399227142,2.663358688,4.37693882,5.829592228
3.847660065,5.522117615,4.128748894,5.369215488,5.101397038,3.904001236,5.335392952,4.179945946
5.937413216,4.980263233,2.679018736,5.219074249,6.327335358,4.658224583,3.093292475,4.528296947
