Est_X,Est_Y,Est_Z,Target_X,Target_Y,Target_Z,Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
2.379610777,3.309347391,0.595572412,2.360458136,3.370815516,1.123037457,3.87892437,4.739447594,4.029719353,5.083727837,4.923148632,3.979944706,5.12043047,4.094873905
1.756349564,4.345603466,1.432274103,1.699999928,4.359973431,1.5,4.677007198,3.689753532,4.007125854,5.753982067,5.285693645,2.827530861,4.428365707,5.632371902
1.744026899,4.446227551,1.453514338,1.699999809,4.35997963,1.5,4.964826107,3.614993811,4.055623531,5.861748695,5.319936752,2.712716103,4.319139481,5.812256336
1.665811658,4.393205166,1.545395017,1.707247615,4.35997963,1.5,4.808760166,3.737626791,4.094613075,5.769974709,5.313851833,2.821639776,4.449789524,5.712062359
3.699108839,4.311093807,1.587105632,3.699988842,4.359989166,1.5,5.817508698,4.907385826,2.983160496,5.222604275,6.23417902,4.506289005,3.218285799,4.677877426
3.725970507,3.336420774,1.517039776,3.699979782,3.360005379,1.5,5.168132305,5.623804569,3.676082134,4.224856853,5.499592781,5.010886669,3.94818306,3.571394205
2.228080988,3.275256634,0.035625871,0,0,0,3.827605724,5.569612026,4.062338352,5.369158745,5.070913792,3.858726263,5.377285957,4.136714935
3.73930335,2.341673851,1.506414652,3.697202921,2.359995842,1.5,4.585255623,6.412129879,4.624587536,3.26753664,4.559603214,5.744005203,4.914484024,2.81127286
2.382549286,3.317377567,1.707980394,2.360443115,3.370807648,1.499993443,4.303736687,4.68143034,4.528469086,4.397851944,4.6927495,4.074116707,4.734239578,4.498593807
2.025764942,2.345523834,1.537031651,1.742487311,2.360000134,1.5,3.392109394,5.43970108,5.300022125,4.133936882,3.629505873,4.731595993,5.716091633,3.745001793
2.226263046,3.241412163,0.059001517,0,0,0,3.847093582,5.372256756,4.161660671,5.32547617,5.222410202,3.845776796,5.357396603,4.129286289
2.246204138,3.281398773,0.013569151,0,0,0,3.850896358,5.368659973,4.108245373,5.322598457,5.181849957,3.864060163,5.38951683,4.098330498
3.803661108,4.36957407,1.383821964,3.699988842,4.359989166,1.5,5.908218861,5.036381721,2.54652524,5.249243259,6.255443573,4.597482681,3.398876429,4.527806759
2.224100828,3.27503252,0.029048551,0,0,0,3.885002375,5.496591568,3.933879375,5.362760544,5.207275391,3.866720438,5.35718298,4.122220516
3.707402468,2.438760281,1.443183184,3.699989796,2.367839336,1.5,4.519975662,6.430341244,4.513381481,3.517288208,4.955744267,5.652476788,4.868807316,2.974339485
1.70121491,4.332589149,1.531368375,1.774872303,4.359980583,1.5,4.75982523,3.614223957,4.129221916,5.763566971,5.125449657,2.941170216,4.438714981,5.640318871
2.239941597,3.25721693,0.054032046,0,0,0,3.880069256,5.469167233,5.739942551,5.379368305,5.138207912,3.892712116,5.355514526,4.10432148
2.326642752,3.267601252,0.07738474,0,0,0,3.854471922,5.563211441,4.152883053,5.346934795,5.079055309,3.879262209,5.397726059,4.118474007
1.708349705,2.35855794,1.492909789,1.699995518,2.360002518,1.5,3.09808898,5.339792728,5.517930031,4.424184799,3.274838448,4.433512688,5.930558681,4.161848068
1.671435475,2.359425068,1.553240895,1.699995518,2.360002518,1.5,3.137895823,5.200706005,5.44579792,4.436722279,3.239534378,4.555582047,5.944621563,4.176413059
3.761801481,3.328117609,1.448843122,3.699989319,3.360002518,1.5,5.152122021,6.130609989,3.721293211,4.247713566,5.511941433,4.916930199,4.21300602,3.597474813
2.445838213,3.346286535,0.184706211,2.360459089,3.370816231,0.666599512,4.041650295,5.322333336,4.050204754,5.305586815,5.262596607,3.957933187,5.260653973,4.031126499
3.552832365,4.211639881,1.582930446,3.699989319,4.317134857,1.5,5.643019199,4.823091984,3.274564981,5.031076431,5.988983631,4.410503864,3.599231482,4.641580105
3.716780663,3.344328403,1.565782309,3.699979782,3.360005379,1.5,5.170752048,5.559531689,3.825201511,4.294016838,5.530130386,5.076458931,4.001351833,3.60762167
2.361323833,3.358218193,1.734518528,2.360443115,3.370807648,1.499993443,4.364949226,4.635903358,4.629871368,4.509076118,4.645813465,3.971992016,4.668836594,4.603285789
3.710865498,2.359225273,1.548410296,3.699979782,2.360002041,1.5,4.580572128,6.293559074,4.513736248,3.30156374,4.561136723,5.664525032,4.847083092,2.790139437
2.571377754,3.315426588,0.976449192,2.500005484,3.360002756,0.731310487,4.128184319,4.924330235,3.937482834,4.674725533,4.878079891,4.112436295,4.736227512,4.121574402
3.678832769,2.290849686,1.473278761,3.699979782,2.359995842,1.5,4.520837307,6.403049469,4.699867249,3.271412849,4.722854137,5.686598778,5.315748692,2.844294071
2.792747498,2.345387697,1.450484872,2.364766598,2.359998465,1.5,4.009432793,5.865527153,4.823918819,3.585770845,4.287584305,4.99682951,5.799277306,3.354284763
